transformed_date,namespace_value,total_fees,mb_posted
2024-01-16,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,1.2179999999999995,11.103514
2023-12-18,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,0.10903100000000002,5.090948
2024-02-08,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.694816,1.075195
2024-02-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.048144999999999993,2.568072
2024-01-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.042681999999999991,1.862134
2024-01-23,AAAAAAAAAAAAAAAAAAAAAAAAAAAADE4vVvVyRsg=,0.029251,1.074263
2024-01-11,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.041998000000000008,2.194886
2024-01-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.033350000000000005,1.777943
2024-02-07,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,1.742581,2.986844
2023-11-16,AAAAAAAAAAAAAAAAAAAAAAAAAGJsb2Nrc2NvcGU=,0.03,6e-06
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAbWVtZXM=,0.716588,0.834319
2024-01-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,3.1829999999999981,27.656959
2024-01-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAACOX2eb9xFss=,0.864296999999999,0.015378
2024-01-20,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.114829,5.302266
2024-01-27,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.76774399999999976,1.037669
2024-02-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAABqVjuNvNnoE=,0.033733,1.800464
2024-02-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.19623100000000004,10.068098
2024-02-04,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,2.6581590000000004,11.23685
2023-12-23,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.24097599999999997,12.848148
